;acceleration
1142;-0,00719
1143;0,00425
1144;0,0157
1145;0,02714
1146;0,03858
1147;0,02975
1148;0,02092
1149;0,02334
1150;0,02576
1151;0,02819
1152;0,03061
1153;0,03304
1154;0,01371
1155;-0,00561
1156;-0,02494
1157;-0,02208
1158;-0,01923
1159;-0,01638
1160;-0,01353
1161;-0,01261
1162;-0,0117
1163;-0,00169
1164;0,00833
1165;0,01834
1166;0,02835
1167;0,03836
1168;0,04838
1169;0,03749
1170;0,0266
1171;0,01571
1172;0,00482
1173;-0,00607
1174;-0,01696
1175;-0,0078
1176;0,00136
1177;0,01052
1178;0,01968
1179;0,02884
1180;-0,00504
1181;-0,03893
1182;-0,02342
1183;-0,00791
1184;0,00759
1185;0,0231
1186;0,00707
1187;-0,00895
1188;-0,02498
1189;-0,041
1190;-0,05703
1191;-0,0292
1192;-0,00137
1193;0,02645
1194;0,05428
1195;0,03587
1196;0,01746
1197;-0,00096
1198;-0,01937
1199;-0,03778
1200;-0,02281
1201;-0,00784
1202;0,00713
1203;0,0221
1204;0,03707
1205;0,05204
1206;0,06701
1207;0,08198
1208;0,03085
1209;-0,02027
1210;-0,0714
1211;-0,12253
1212;-0,08644
1213;-0,05035
1214;-0,01426
1215;0,02183
1216;0,05792
1217;0,094
1218;0,13009
1219;0,03611
1220;-0,05787
1221;-0,04802
1222;-0,03817
1223;-0,02832
1224;-0,01846
1225;-0,00861
1226;-0,03652
1227;-0,06444
1228;-0,06169
1229;-0,05894
1230;-0,05618
1231;-0,06073
1232;-0,06528
1233;-0,04628
1234;-0,02728
1235;-0,00829
1236;0,01071
1237;0,0297
1238;0,03138
1239;0,03306
1240;0,03474
1241;0,03642
1242;0,04574
1243;0,05506
1244;0,06439
1245;0,07371
1246;0,08303
1247;0,03605
1248;-0,01092
1249;-0,0579
1250;-0,04696
1251;-0,03602
1252;-0,02508
1253;-0,01414
1254;-0,03561
1255;-0,05708
1256;-0,07855
1257;-0,06304
1258;-0,04753
1259;-0,03203
1260;-0,01652
1261;-0,00102
1262;0,00922
1263;0,01946
1264;0,0297
1265;0,03993
1266;0,05017
1267;0,06041
1268;0,07065
1269;0,08089
1270;-0,00192
1271;-0,08473
1272;-0,07032
1273;-0,0559
1274;-0,04148
1275;-0,05296
1276;-0,06443
1277;-0,0759
1278;-0,08738
1279;-0,09885
1280;-0,06798
1281;-0,0371
1282;-0,00623
1283;0,02465
1284;0,05553
1285;0,0864
1286;0,11728
1287;0,14815
1288;0,08715
1289;0,02615
1290;-0,03485
1291;-0,09584
1292;-0,071
1293;-0,04616
1294;-0,02132
1295;0,00353
1296;0,02837
1297;0,05321
1298;-0,00469
1299;-0,06258
1300;-0,12048
1301;-0,0996
1302;-0,07872
1303;-0,05784
1304;-0,03696
1305;-0,01608
1306;0,0048
1307;0,02568
1308;0,04656
1309;0,06744
1310;0,08832
1311;0,1092
1312;0,13008
1313;0,10995
1314;0,08982
1315;0,06969
1316;0,04955
1317;0,04006
1318;0,03056
1319;0,02107
1320;0,01158
1321;0,0078
1322;0,00402
1323;0,00024
1324;-0,00354
1325;-0,00732
1326;-0,0111
1327;-0,0078
1328;-0,0045
1329;-0,0012
1330;0,0021
1331;0,0054
1332;-0,00831
1333;-0,02203
1334;-0,03575
1335;-0,04947
1336;-0,06319
1337;-0,05046
1338;-0,03773
1339;-0,025
1340;-0,01227
1341;0,00046
1342;0,00482
1343;0,00919
1344;0,01355
1345;0,01791
1346;0,02228
1347;0,00883
1348;-0,00462
1349;-0,01807
1350;-0,03152
1351;-0,02276
1352;-0,01401
1353;-0,00526
1354;0,0035
1355;0,01225
1356;0,02101
1357;0,01437
1358;0,00773
1359;0,0011
1360;0,00823
1361;0,01537
1362;0,02251
1363;0,01713
1364;0,01175
1365;0,00637
1366;0,01376
1367;0,02114
1368;0,02852
1369;0,03591
1370;0,04329
1371;0,03458
1372;0,02587
1373;0,01715
1374;0,00844
1375;-0,00027
1376;-0,00898
